# Annual global-average surface air temperature anomalies relative to the 1991-2020 reference period,,,,,,
# '-999' denote missing values,,,,,,
# Units: deg. C,,,,,,
Year,ERA5,JRA-3Q,Berkeley Earth,GISTEMP,HadCRUT5,NOAAGlobalTemp
1850,-999,-999,-1.017,-999,-0.964,-0.789
1851,-999,-999,-0.924,-999,-0.773,-0.707
1852,-999,-999,-0.884,-999,-0.776,-0.716
1853,-999,-999,-0.9,-999,-0.809,-0.728
1854,-999,-999,-0.908,-999,-0.827,-0.722
1855,-999,-999,-0.895,-999,-0.833,-0.732
1856,-999,-999,-1.014,-999,-0.862,-0.87
1857,-999,-999,-1.142,-999,-1.012,-0.885
1858,-999,-999,-0.961,-999,-0.934,-0.821
1859,-999,-999,-0.854,-999,-0.824,-0.698
1860,-999,-999,-0.999,-999,-0.931,-0.843
1861,-999,-999,-1.081,-999,-0.968,-0.864
1862,-999,-999,-1.168,-999,-1.083,-0.915
1863,-999,-999,-0.973,-999,-0.889,-0.771
1864,-999,-999,-0.984,-999,-1.013,-0.809
1865,-999,-999,-0.892,-999,-0.877,-0.747
1866,-999,-999,-0.849,-999,-0.894,-0.723
1867,-999,-999,-0.817,-999,-0.908,-0.798
1868,-999,-999,-0.839,-999,-0.891,-0.756
1869,-999,-999,-0.857,-999,-0.857,-0.734
1870,-999,-999,-0.908,-999,-0.87,-0.784
1871,-999,-999,-0.938,-999,-0.907,-0.782
1872,-999,-999,-0.9,-999,-0.872,-0.788
1873,-999,-999,-0.882,-999,-0.886,-0.805
1874,-999,-999,-0.956,-999,-0.916,-0.823
1875,-999,-999,-0.952,-999,-0.927,-0.813
1876,-999,-999,-0.975,-999,-0.966,-0.834
1877,-999,-999,-0.595,-999,-0.646,-0.57
1878,-999,-999,-0.531,-999,-0.548,-0.561
1879,-999,-999,-0.841,-999,-0.849,-0.729
1880,-999,-999,-0.921,-0.78,-0.86,-0.784
1881,-999,-999,-0.812,-0.698,-0.779,-0.748
1882,-999,-999,-0.863,-0.723,-0.845,-0.748
1883,-999,-999,-0.911,-0.786,-0.893,-0.843
1884,-999,-999,-1.087,-0.897,-1.043,-0.932
1885,-999,-999,-1.046,-0.946,-1.016,-0.947
1886,-999,-999,-1.083,-0.925,-0.966,-0.879
1887,-999,-999,-1.109,-0.976,-1.042,-0.933
1888,-999,-999,-0.907,-0.784,-0.922,-0.794
1889,-999,-999,-0.79,-0.72,-0.794,-0.705
1890,-999,-999,-1.076,-0.965,-1.051,-0.902
1891,-999,-999,-0.955,-0.833,-0.942,-0.811
1892,-999,-999,-1.024,-0.884,-1.058,-0.877
1893,-999,-999,-1,-0.921,-1.039,-0.942
1894,-999,-999,-0.993,-0.913,-1.025,-0.858
