Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1850-01,,,
1850-02,,,
1850-03,,,
1850-04,,,
1850-05,,,
1850-06,,,
1850-07,,,
1850-08,,,
1850-09,,,
1850-10,,,
1850-11,,,
1850-12,,,
1851-01,,,
1851-02,,,
1851-03,,,
1851-04,,,
1851-05,,,
1851-06,,,
1851-07,,,
1851-08,,,
1851-09,,,
1851-10,,,
1851-11,,,
1851-12,,,
1852-01,,,
1852-02,,,
1852-03,,,
1852-04,,,
1852-05,,,
1852-06,,,
1852-07,,,
1852-08,,,
1852-09,,,
1852-10,,,
1852-11,,,
1852-12,,,
1853-01,,,
1853-02,,,
1853-03,,,
1853-04,,,
1853-05,,,
1853-06,,,
1853-07,,,
1853-08,,,
1853-09,,,
1853-10,,,
1853-11,,,
1853-12,,,
1854-01,,,
1854-02,,,
1854-03,,,
1854-04,,,
1854-05,,,
1854-06,,,
1854-07,,,
1854-08,,,
1854-09,,,
1854-10,,,
1854-11,,,
1854-12,,,
1855-01,,,
1855-02,,,
1855-03,,,
1855-04,,,
1855-05,,,
1855-06,,,
1855-07,,,
1855-08,,,
1855-09,,,
1855-10,,,
1855-11,,,
1855-12,,,
1856-01,,,
1856-02,,,
1856-03,,,
1856-04,,,
1856-05,,,
1856-06,,,
1856-07,,,
1856-08,,,
1856-09,,,
1856-10,,,
1856-11,,,
1856-12,,,
1857-01,-1.2097889,-2.367659,-0.049061894
1857-02,-0.1665718,-1.7928578,1.461754
1857-03,-0.70561326,-2.292624,0.8834924
1857-04,-1.7006601,-2.8967752,-0.50173277
1857-05,-1.0958458,-1.7694035,-0.41729468
1857-06,-0.17387816,-0.882929,0.5399279
1857-07,-0.12819757,-0.70800793,0.4574311
1857-08,0.00036102263,-0.6536594,0.6595563
1857-09,-0.5035271,-1.0593027,0.058342278
1857-10,-0.73656875,-1.4501888,-0.018182335
1857-11,-0.77880454,-1.6095302,0.05602817
1857-12,0.40993,-0.5305451,1.3540426
1858-01,0.12746254,-1.0033102,1.2611762
1858-02,-1.4619488,-2.951003,0.029354936
1858-03,-0.77816546,-2.2744064,0.7203189
1858-04,-0.37556216,-1.5765384,0.828214
1858-05,-0.5209748,-1.1497792,0.11317295
1858-06,0.06348287,-0.6022539,0.7342564
1858-07,-0.2900318,-0.83065987,0.2568001
1858-08,-0.18229142,-0.8271531,0.46781668
1858-09,-0.1241638,-0.65232885,0.41040817
1858-10,-0.20166059,-0.8550774,0.4569571
1858-11,-1.8674304,-2.6733005,-1.0573286
1858-12,-0.54916227,-1.5112305,0.416461
1859-01,-0.27589884,-1.3434654,0.7947964
1859-02,0.03628051,-1.4245839,1.4994373
1859-03,-0.08984077,-1.5634239,1.38602
1859-04,-0.19584738,-1.3864673,0.9975969
1859-05,-0.054454092,-0.6809567,0.57741034
1859-06,-0.07807912,-0.7377775,0.5867252
1859-07,0.15219833,-0.3757717,0.68654853
1859-08,0.04200065,-0.6190884,0.7082087
1859-09,-0.51658833,-1.0351863,0.008533149
1859-10,-0.18449324,-0.8288487,0.46513554
1859-11,-0.4244273,-1.2413489,0.39666915
1859-12,-1.2157948,-2.1754692,-0.2525563
1860-01,0.024124285,-1.0738293,1.1251217
1860-02,-1.2682419,-2.7496557,0.21543443
1860-03,-1.6584144,-3.17142,-0.14318849
1860-04,-0.48520005,-1.7043606,0.73672074
1860-05,-0.43916973,-1.0660279,0.19305272
1860-06,-0.083616674,-0.7724346,0.6100972
1860-07,-0.14089409,-0.683605,0.40802974
1860-08,0.051135603,-0.60659784,0.71401596
1860-09,-0.31834847,-0.85067356,0.22033694
1860-10,-0.52853835,-1.188908,0.13698022
1860-11,-1.4955695,-2.3098383,-0.6771104
1860-12,-1.9313605,-2.8684008,-0.9906874
1861-01,-2.132883,-3.2386637,-1.0240952
1861-02,0.095328495,-1.4165988,1.6094615
1861-03,0.15254653,-1.4022804,1.7095116
1861-04,-0.6987348,-1.8871838,0.49253184
1861-05,-1.1274228,-1.7162536,-0.5329129
1861-06,0.053719085,-0.5920808,0.70471305
1861-07,-0.064490266,-0.5652939,0.44300812
1861-08,0.25289837,-0.43179533,0.94248694
1861-09,-0.31042504,-0.8193039,0.20507295
1861-10,-0.3259502,-0.97789955,0.33119002
1861-11,-0.6412624,-1.486473,0.20796722
1861-12,-0.36109525,-1.3378996,0.61917645
1862-01,-1.2537457,-2.4131308,-0.09147594
1862-02,-1.3602937,-2.9017277,0.1833156
1862-03,-0.37707612,-1.9739774,1.2219188
1862-04,-0.2454892,-1.4846084,0.9963331
1862-05,-0.17886494,-0.77324826,0.42114547
1862-06,-0.24349727,-0.8816705,0.39993167
1862-07,-0.47162923,-0.9925421,0.055722486
1862-08,-0.6820613,-1.3529361,-0.0061638635
1862-09,-0.30972624,-0.8100332,0.19730999
1862-10,-0.49346545,-1.1405259,0.15882342
1862-11,-0.9601804,-1.8080667,-0.1082883
1862-12,-1.168271,-2.121853,-0.21111783
1863-01,1.1060388,-0.08521341,2.3000839
1863-02,0.31811863,-1.3054681,1.9437599
1863-03,-0.39867836,-1.9506478,1.1554452
1863-04,-0.39257213,-1.6383302,0.8558742
1863-05,-0.36620876,-0.96560323,0.23876539
1863-06,-0.4267051,-1.0781854,0.22992347
1863-07,-0.5457222,-1.0490992,-0.035685193
1863-08,-0.33175495,-1.0143135,0.35574147
1863-09,-0.34203494,-0.8545761,0.17707816
1863-10,-0.67914003,-1.3233557,-0.02967182
1863-11,-0.37771893,-1.2111883,0.45982543
