,1991-2023,average
1.0,0.14561884564952676,0.14561884564952676
5.0,0.1461448961492867,0.1461448961492867
10.0,0.14592782645311983,0.14592782645311983
15.0,0.1437659514818918,0.1437659514818918
20.0,0.14141402665505753,0.14141402665505753
25.0,0.1379974707207807,0.1379974707207807
30.0,0.13477517898570507,0.13477517898570507
35.0,0.13013969712148615,0.13013969712148615
40.0,0.12765704349111667,0.12765704349111667
45.0,0.1240623051258312,0.1240623051258312
50.0,0.12095780105623888,0.12095780105623888
55.0,0.1189974863312511,0.1189974863312511
60.0,0.11854497261686539,0.11854497261686539
65.0,0.117834078555461,0.117834078555461
70.0,0.11870802101240994,0.11870802101240994
75.0,0.12015833708496246,0.12015833708496246
80.0,0.1226141167316526,0.1226141167316526
85.0,0.12447979404867432,0.12447979404867432
90.0,0.12652919846296623,0.12652919846296623
95.0,0.12861531589523875,0.12861531589523875
100.0,0.12998300466784848,0.12998300466784848
110.0,0.13260326028569916,0.13260326028569916
120.0,0.13285943531408845,0.13285943531408845
130.0,0.13176896154676954,0.13176896154676954
140.0,0.1298403579811441,0.1298403579811441
150.0,0.1266493552854972,0.1266493552854972
160.0,0.12278521958275393,0.12278521958275393
170.0,0.11787971837774795,0.11787971837774795
180.0,0.11314188590880861,0.11314188590880861
190.0,0.10800378698417368,0.10800378698417368
200.0,0.10340712567353072,0.10340712567353072
