,1991-2023,average
1.0,0.013995561159375976,0.013995561159375976
5.0,0.014070398452155698,0.014070398452155698
10.0,0.014047123578369196,0.014047123578369196
15.0,0.014221217016741722,0.014221217016741722
20.0,0.014400843678414502,0.014400843678414502
25.0,0.014803782762129455,0.014803782762129455
30.0,0.014981918374043278,0.014981918374043278
35.0,0.015264075816875338,0.015264075816875338
40.0,0.01517725213632326,0.01517725213632326
45.0,0.015013349814714326,0.015013349814714326
50.0,0.014588635867944058,0.014588635867944058
55.0,0.014032604200567357,0.014032604200567357
60.0,0.013149386052376533,0.013149386052376533
65.0,0.012165557963942825,0.012165557963942825
70.0,0.011044833412103647,0.011044833412103647
75.0,0.009915938499812918,0.009915938499812918
80.0,0.0087398450754203,0.0087398450754203
85.0,0.007550621851398135,0.007550621851398135
90.0,0.006758035515632588,0.006758035515632588
95.0,0.006112999151745718,0.006112999151745718
100.0,0.005873249090240921,0.005873249090240921
110.0,0.0062671727772752525,0.0062671727772752525
120.0,0.007247381206903538,0.007247381206903538
130.0,0.00834225807871934,0.00834225807871934
140.0,0.009292411559434294,0.009292411559434294
150.0,0.009936007446355796,0.009936007446355796
160.0,0.010060575956096123,0.010060575956096123
170.0,0.009750872208580601,0.009750872208580601
180.0,0.009180962670176637,0.009180962670176637
190.0,0.008483455482698597,0.008483455482698597
200.0,0.007821052677051916,0.007821052677051916
