,1991-2023
HadCRUT5,0.017429585236205254
ERA5-GMST_INCLSI,0.01800590224203691
ERA5-GMST_INCLSI_F,0.01760339678656343
ERA5-GMST_NOSI,0.016801075798328992
ERA5-GMST_NOSI_F,0.01752549623164637
JRA-3Q-GMST_INCLSI,0.01819829442756137
JRA-3Q-GMST_INCLSI_F,0.017885506345306387
JRA-3Q-GMST_NOSI,0.016130680003847403
JRA-3Q-GMST_NOSI_F,0.017693162417375275
NOAAGloTemp,0.01706330157162242
BerkeleyEarth,0.017586845048202324
ClimTrace-GMST,0.01729328957241009
ERA5-GSAT,0.01898335308643213
JRA-3Q-GSAT,0.019190065348511344
ClimTrace-GSAT,0.018330886946754693
HadSST4,0.015392454404321352
ERSSTv5,0.01380347574330891
ERA5-SST,0.013229324979552069
IAPv4-SST,0.013995561159375976
JRA-3Q-SST,0.014395049510615883
CRUTEM5,0.027652456151361467
GHCNv4,0.027962727080104544
BerkeleyEarth-Land,0.02855097196385459
ERA5-LSAT,0.030164331831355095
JRA-3Q-LSAT,0.029236988735569847
ERA5-SSAT,0.016371331287838103
JRA-3Q-SSAT,0.017495494373634478
