time,ssp585,ssp245,ssp126,ssp119
2017,0.0262537336872069,0.0262537336872069,0.0262537336872069,0.0262537336872069
2018,0.0266142438555723,0.0266142438555723,0.0266142438555723,0.0266142438555723
2019,0.02694706867467182,0.02694706867467182,0.02694706867467182,0.02694706867467182
2020,0.02754002237728136,0.02734569239184952,0.027346079556143255,0.02735927736626247
2021,0.028368553099243483,0.027681010737261973,0.02766969845610078,0.02769017032699811
2022,0.02933604732433176,0.027801042007055438,0.02774437885605189,0.02772718146176713
2023,0.030445827677300585,0.027741216496830534,0.027579258761418333,0.027427235120788467
2024,0.03170778443999581,0.02754019496785385,0.02719388713104264,0.0267747506166719
2025,0.032860016355028124,0.02701198703905948,0.02648551411701623,0.025811382885290668
2026,0.03389128102993423,0.026576389571574675,0.025654639064579623,0.024319074695875253
2027,0.03489681631664235,0.026237106371452584,0.024857688268789778,0.022746241073093157
2028,0.03586944719070895,0.0259676870214731,0.024094007004995286,0.02113611226873253
2029,0.03680728853302548,0.0257497137436872,0.023364671455152513,0.01952084639463566
2030,0.03751605011371011,0.02573846235457637,0.02253642339189101,0.017482674536754093
2031,0.03795717868565605,0.025958702541852074,0.02156030527483896,0.014932840908329045
2032,0.03820605773580947,0.026325444652559406,0.02044634721810507,0.012046647018186061
2033,0.03842070892426642,0.02668798126630304,0.01926768327980253,0.009186978837498463
2034,0.03882085007214443,0.026862233806724412,0.018162806129997055,0.0068501648577810655
2035,0.03936513415859077,0.026900119196367214,0.017123981021971744,0.004942158054800064
2036,0.04002096582208593,0.026856782034927862,0.016155738053146608,0.0033685482007897185
2037,0.040763573493761265,0.026772019355506563,0.015258707066900464,0.0020542078659127124
2038,0.041571312477122015,0.02667104368199898,0.014429552282749619,0.0009382679563884436
2039,0.04242652763801365,0.026569026036784325,0.013661351345216382,-2.603519717112108e-05
2040,0.04327910460519639,0.026516266359557755,0.012789085446282752,-0.0008796095838422089
2041,0.04410341556825065,0.02652066214052612,0.011768196701638034,-0.001640649552565543
2042,0.044754567601475226,0.026492258221706644,0.010623682524016242,-0.0023037887763731058
2043,0.0453757162756806,0.026447500954690062,0.009505282702240325,-0.0028688028690234124
2044,0.045995185576997,0.026333577371392636,0.00857724476099192,-0.0033411767305008278
2045,0.046606210320432384,0.026163825665487306,0.007796244841527744,-0.0037448623307391737
2046,0.04720814701440312,0.02595700482600727,0.007125364313647742,-0.004103717275271035
2047,0.047802918473121014,0.025730416314376225,0.006538558205140765,-0.004431368296418103
2048,0.04839651556064095,0.0255006366815681,0.006020186154750973,-0.004732345452251985
2049,0.048994791672986926,0.02528177507522189,0.005560708548692617,-0.005008015432588442
2050,0.049482134362204,0.024985064734425133,0.005144817976267868,-0.005290600931557199
2051,0.049819714493871015,0.024583982033627216,0.004761772718009816,-0.005582789096396368
2052,0.05002303286162002,0.02409686382011239,0.004407192908882029,-0.005857635802874073
2053,0.050158103605894844,0.02357927533549048,0.004079694042048998,-0.006077553003778102
2054,0.05033727657960785,0.023121874410720222,0.003779200154281792,-0.006207407138010268
2055,0.050537950106756546,0.022701373491735843,0.0034953099704021495,-0.00626939635492807
2056,0.05075370481205366,0.022307389834683,0.003219171591254233,-0.0062905448144329745
2057,0.050983774454267494,0.021937476790236998,0.0029484940301323093,-0.006286211357271032
2058,0.051229757554046684,0.021592012491598256,0.0026835525320959563,-0.006264707079807308
2059,0.0514936712424966,0.021272376476890065,0.0024263713466387005,-0.006230702417365008
2060,0.05177798645409404,0.020963285778435425,0.0021146263446891744,-0.006161548500604241
2061,0.05208010002787122,0.0206581732528634,0.0017329469544026255,-0.006053663586573166
2062,0.05239418627656711,0.020357649135396283,0.001300813782624921,-0.005918141045761216
2063,0.052712270494775115,0.02006723967235058,0.0008616251946330644,-0.005778065913719044
2064,0.05302710787308296,0.01979766898235258,0.00047755749900518785,-0.005665485636395129
2065,0.05333661478225271,0.019541363136064527,0.00012998717887124922,-0.00557871236001134
2066,0.05363899730697186,0.019292058840176762,-0.00019564748159173195,-0.005517524412904262
2067,0.05393428327252059,0.0190465404215448,-0.000508366120979542,-0.005479740840635294
2068,0.054226061732803754,0.01880682450621385,-0.0008109399378947724,-0.005460249809013384
2069,0.05452059937056186,0.018577718742350036,-0.0011008728797834433,-0.005450472133243345
2070,0.05491316121613632,0.018382557531246957,-0.001378034116028326,-0.005402660722810371
2071,0.055413890848180714,0.018219933681937195,-0.001647716431136037,-0.005304899354163617
2072,0.05596380586611849,0.018065585467276768,-0.0019225035936417112,-0.005174119896770413
2073,0.05646889098773511,0.017887015882826485,-0.0022145657984940503,-0.00504565930834644
2074,0.05682259580461091,0.01765293147429725,-0.0025294138138240996,-0.004965532993343458
2075,0.05705631507462883,0.017369601966799375,-0.0028657255953788985,-0.004924473401128393
2076,0.057205234452887055,0.017049161317702177,-0.003218529433479833,-0.00491423310996536
2077,0.05729270780002671,0.016700633436749768,-0.0035857764731455077,-0.004930242661108419
2078,0.05733537208532691,0.016330845320647658,-0.00396593575942461,-0.004968892139838366
2079,0.05734604200285742,0.015945500865301998,-0.004357184999642494,-0.0050274527026444304
2080,0.05726200399637904,0.015539949496579886,-0.0047446387199012174,-0.0051158764959453595
2081,0.057055038842357075,0.015116190841160893,-0.005109968043371271,-0.005231419037525276
