time,ssp585,ssp245,ssp126,ssp119
1850,0.0104865387188568,0.0104865387188568,0.0104865387188568,0.0104865387188568
1851,0.0092113996172277,0.0092113996172277,0.0092113996172277,0.0092113996172277
1852,0.0079362605155987,0.0079362605155987,0.0079362605155987,0.0079362605155987
1853,0.0066611214139697,0.0066611214139697,0.0066611214139697,0.0066611214139697
1854,0.0053859823123407,0.0053859823123407,0.0053859823123407,0.0053859823123407
1855,0.0041108432107117,0.0041108432107117,0.0041108432107117,0.0041108432107117
1856,0.0028357041090827,0.0028357041090827,0.0028357041090827,0.0028357041090827
1857,0.0018648087000424,0.0018648087000424,0.0018648087000424,0.0018648087000424
1858,0.0014286595859301,0.0014286595859301,0.0014286595859301,0.0014286595859301
1859,0.0012203401301056,0.0012203401301056,0.0012203401301056,0.0012203401301056
1860,0.0009153305891212,0.0009153305891212,0.0009153305891212,0.0009153305891212
1861,0.0001983971930201,0.0001983971930201,0.0001983971930201,0.0001983971930201
1862,-0.0012837527010091,-0.0012837527010091,-0.0012837527010091,-0.0012837527010091
1863,-0.0037211834829538,-0.0037211834829538,-0.0037211834829538,-0.0037211834829538
1864,-0.0058573312633339,-0.0058573312633339,-0.0058573312633339,-0.0058573312633339
1865,-0.0061010201280482,-0.0061010201280482,-0.0061010201280482,-0.0061010201280482
1866,-0.0036844188170242,-0.0036844188170242,-0.0036844188170242,-0.0036844188170242
1867,0.0015670417004469,0.0015670417004469,0.0015670417004469,0.0015670417004469
1868,0.0090127723737058,0.0090127723737058,0.0090127723737058,0.0090127723737058
1869,0.0175492960086571,0.0175492960086571,0.0175492960086571,0.0175492960086571
1870,0.0260660965881962,0.0260660965881962,0.0260660965881962,0.0260660965881962
1871,0.0336573579517126,0.0336573579517126,0.0336573579517126,0.0336573579517126
1872,0.0390725613726516,0.0390725613726516,0.0390725613726516,0.0390725613726516
1873,0.0418673105812264,0.0418673105812264,0.0418673105812264,0.0418673105812264
1874,0.0416453733907459,0.0416453733907459,0.0416453733907459,0.0416453733907459
1875,0.0383474188347245,0.0383474188347245,0.0383474188347245,0.0383474188347245
1876,0.0329300983646916,0.0329300983646916,0.0329300983646916,0.0329300983646916
